Episode,Acting,Receiving,Valence
1,Taylor,Jay,1
1,Taylor,Figgy,1
1,Taylor,Michelle,1
1,Figgy,Jay,1
1,Figgy,Taylor,1
1,Figgy,Jay,1
1,Figgy,Taylor,1
1,Jay,Taylor,1
1,Jay,Figgy,1
1,Jay,Michelle,1
1,Michelle,Hannah,1
1,Hannah,Michelle,1
1,Sunday,Rachel,-1
1,David,Bret,1
1,David,Chris,1
1,Bret,David,-1
1,Chris,David,-1
1,Jessica,David,-1
1,Taylor,Jay,1
1,Taylor,Figgy,1
1,Jay,Taylor,1
1,Jay,Figgy,1
1,Hannah,Mari,1
1,Mari,Hannah,1
1,Chris,Rachel,-1
1,Chris,David,-1
1,Jessica,Rachel,-1
1,Bret,Rachel,-1
1,Bret,David,-1
1,Bret,Rachel,-1
1,Rachel,Sunday,-2
1,Paul,Rachel,-2
1,Lucy,CeCe,-2
1,CeCe,David,-2
1,Chris,Rachel,-2
1,Jessica,CeCe,-2
1,Sunday,CeCe,-2
1,Bret,Rachel,-2
1,David,Rachel,-2
1,Ken,Rachel,-2
1,Paul,Ken,1
1,Paul,Bret,1
1,Paul,David,1
1,Paul,Chris,1
1,Ken,Bret,1
1,Ken,David,1
1,Ken,Paul,1
1,Ken,Chris,1
1,Bret,Ken,1
1,Bret,David,1
1,Bret,Paul,1
1,Bret,Chris,1
1,Chris,Ken,1
1,Chris,David,1
1,Chris,Paul,1
1,Chris,Bret,1
1,Lucy,Jessica,1
1,Lucy,Sunday,1
1,Jessica,Lucy,1
1,Jessica,Sunday,1
1,Sunday,Lucy,1
1,Sunday,Jessica,1
2,Paul,CeCe,-1
2,Paul,David,-1
2,Chris,David,-1
2,Taylor,Figgy,1
2,Figgy,Taylor,1
2,Michaela,Taylor,-1
2,Michaela,Figgy,-1
2,Jay,Taylor,-1
2,Jay,Figgy,-1
2,David,Ken,1
2,Ken,David,1
2,Ken,David,1
2,Ken,Paul,-1
2,David,Paul,-1
2,Ken,Paul,-1
2,Michaela,Figgy,-1
2,Michaela,Figgy,-1
2,Figgy,Michaela,-1
2,Figgy,Michaela,-1
2,Figgy,Michaela,-1
2,CeCe,Paul,-1
2,David,Paul,-1
2,Mari,Figgy,-1
2,Zeke,Figgy,-1
2,Hannah,Figgy,-1
2,Mari,Figgy,-1
2,Michaela,Figgy,-1
2,Jay,Figgy,1
2,Jay,Taylor,1
2,Zeke,Michaela,-1
2,Michelle,Figgy,1
2,Michelle,Figgy,1
2,Michelle,Jay,1
2,Michelle,Taylor,1
2,Michelle,Jay,1
2,Jay,Michelle,1
2,Michaela,Figgy,-1
2,Michaela,Taylor,-1
2,Mari,Figgy,-2
2,Figgy,Mari,-2
2,Michaela,Mari,-2
2,Michelle,Mari,-2
2,Taylor,Mari,-2
2,Zeke,Figgy,-2
2,Will,Mari,-2
2,Jay,Mari,-2
2,Hannah,Mari,-2
2,Adam,Figgy,-2
2,Adam,Mari,1
2,Adam,Zeke,1
2,Mari,Zeke,1
2,Mari,Adam,1
2,Zeke,Adam,1
2,Zeke,Mari,1
2,Figgy,Michaela,1
2,Figgy,Michelle,1
2,Figgy,Taylor,1
2,Figgy,Will,1
2,Figgy,Jay,1
2,Figgy,Hannah,1
2,Michaela,Figgy,1
2,Michaela,Michelle,1
2,Michaela,Taylor,1
2,Michaela,Will,1
2,Michaela,Jay,1
2,Michaela,Hannah,1
2,Michelle,Michaela,1
2,Michelle,Figgy,1
2,Michelle,Taylor,1
2,Michelle,Will,1
2,Michelle,Jay,1
2,Michelle,Hannah,1
2,Taylor,Michaela,1
2,Taylor,Michelle,1
2,Taylor,Figgy,1
2,Taylor,Will,1
2,Taylor,Jay,1
2,Taylor,Hannah,1
2,Will,Michaela,1
2,Will,Michelle,1
2,Will,Taylor,1
2,Will,Figgy,1
2,Will,Jay,1
2,Will,Hannah,1
2,Jay,Michaela,1
2,Jay,Michelle,1
2,Jay,Taylor,1
2,Jay,Will,1
2,Jay,Figgy,1
2,Jay,Hannah,1
2,Hannah,Michaela,1
2,Hannah,Michelle,1
2,Hannah,Taylor,1
2,Hannah,Will,1
2,Hannah,Jay,1
2,Hannah,Figgy,1
